Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Bet365_Odds,Draw_Bet365_Odds,Away_Bet365_Odds,Season
2011-09-10,Man City,Wigan,H,3,0,23,9,10,5,8,3,6,9,0,0,0,0,1.17,7,17,2011-2012
2011-09-10,Stoke,Liverpool,H,1,0,3,20,1,11,2,12,12,13,0,1,0,0,3.25,3.3,2.25,2011-2012
2011-09-10,Sunderland,Chelsea,A,1,2,14,16,7,8,4,7,7,3,1,1,0,0,5,3.75,1.7,2011-2012
2011-09-10,Wolves,Tottenham,A,0,2,10,17,6,11,4,10,5,12,3,2,0,0,3,3.25,2.4,2011-2012
2011-09-11,Fulham,Blackburn,D,1,1,13,10,8,5,11,2,7,12,3,1,0,0,1.67,3.6,5.5,2011-2012
2011-09-11,Norwich,West Brom,A,0,1,17,14,5,9,1,3,10,11,1,2,0,0,2.5,3.25,2.88,2011-2012
2011-09-12,QPR,Newcastle,D,0,0,14,8,5,3,6,4,10,15,1,3,0,0,2.4,3.25,3,2011-2012
2011-09-17,Aston Villa,Newcastle,D,1,1,10,21,2,13,4,9,13,10,1,1,0,0,1.91,3.4,4.2,2011-2012
2011-09-17,Blackburn,Arsenal,H,4,3,10,24,5,16,2,13,14,9,2,1,0,0,4.2,3.4,1.91,2011-2012
2011-09-17,Bolton,Norwich,A,1,2,7,11,7,5,6,9,8,8,3,1,1,0,1.8,3.6,4.6,2011-2012
2011-09-17,Everton,Wigan,H,3,1,17,9,10,4,4,9,14,8,2,1,0,0,1.5,4,7,2011-2012
2011-09-17,Swansea,West Brom,H,3,0,7,13,5,8,2,8,4,9,1,2,0,0,2.63,3.2,2.75,2011-2012
2011-09-17,Wolves,QPR,A,0,3,13,17,6,12,4,8,15,13,2,3,0,0,1.91,3.4,4.2,2011-2012
2011-09-18,Fulham,Man City,D,2,2,14,18,11,11,6,9,10,9,1,1,0,0,6.5,3.8,1.57,2011-2012
2011-09-18,Man United,Chelsea,H,3,1,12,20,7,9,4,10,11,12,2,3,0,0,1.83,3.5,4.5,2011-2012
2011-09-18,Sunderland,Stoke,H,4,0,8,9,7,5,6,5,15,12,1,2,0,0,2.4,3.2,3.1,2011-2012
2011-09-18,Tottenham,Liverpool,H,4,0,24,5,16,2,4,1,10,9,1,4,0,2,2.63,3.4,2.63,2011-2012
2011-09-24,Arsenal,Bolton,H,3,0,23,3,14,3,9,2,7,9,0,1,0,1,1.44,4.5,7,2011-2012
2011-09-24,Chelsea,Swansea,H,4,1,15,5,7,4,1,6,15,11,3,3,1,0,1.2,6.5,15,2011-2012
2011-09-24,Liverpool,Wolves,H,2,1,14,11,6,6,7,2,15,6,3,4,0,0,1.36,4.5,10,2011-2012
2011-09-24,Man City,Everton,H,2,0,18,7,8,3,7,5,9,13,1,5,0,0,1.44,4.33,7.5,2011-2012
2011-09-24,Newcastle,Blackburn,H,3,1,19,4,8,1,4,2,6,16,0,4,0,1,1.83,3.5,4.5,2011-2012
2011-09-24,Stoke,Man United,D,1,1,14,13,8,9,8,8,10,3,1,0,0,0,6.5,4,1.53,2011-2012
2011-09-24,West Brom,Fulham,D,0,0,8,18,5,9,1,1,6,14,0,3,0,0,2.3,3.25,3.25,2011-2012
2011-09-24,Wigan,Tottenham,A,1,2,5,14,4,7,1,9,13,6,3,1,1,0,4,3.5,1.91,2011-2012
2011-09-25,QPR,Aston Villa,D,1,1,17,8,9,4,11,8,14,19,1,6,1,0,2.3,3.25,3.2,2011-2012
2011-09-26,Norwich,Sunderland,H,2,1,11,12,8,6,7,4,3,7,2,1,0,0,2.5,3.4,2.8,2011-2012
2011-10-01,Aston Villa,Wigan,H,2,0,16,14,10,9,5,10,12,6,0,1,0,0,1.62,3.75,6,2011-2012
2011-10-01,Blackburn,Man City,A,0,4,5,19,4,12,4,5,9,14,1,1,0,0,6.5,3.75,1.57,2011-2012
2011-10-01,Everton,Liverpool,A,0,2,12,15,4,9,5,9,15,9,1,1,1,0,3.1,3.2,2.4,2011-2012
2011-10-01,Man United,Norwich,H,2,0,17,13,9,6,10,3,9,6,1,0,0,0,1.17,7,17,2011-2012
2011-10-01,Sunderland,West Brom,D,2,2,12,7,7,3,7,4,9,13,2,0,0,0,2.25,3.4,3.2,2011-2012
2011-10-01,Wolves,Newcastle,A,1,2,25,10,12,6,10,5,7,10,1,2,0,0,2.5,3.25,2.88,2011-2012
2011-10-02,Bolton,Chelsea,A,1,5,14,21,10,14,4,5,10,11,1,2,0,0,6.5,4,1.53,2011-2012
2011-10-02,Fulham,QPR,H,6,0,19,17,13,10,4,4,10,7,2,3,0,0,2,3.3,4,2011-2012
2011-10-02,Swansea,Stoke,H,2,0,9,11,5,6,6,5,14,18,3,5,0,0,2.63,3.25,2.75,2011-2012
2011-10-02,Tottenham,Arsenal,H,2,1,16,13,8,7,9,7,11,8,2,1,0,0,2.1,3.4,3.5,2011-2012
2011-10-15,Chelsea,Everton,H,3,1,7,9,5,5,2,2,13,11,2,2,0,0,1.36,4.5,10,2011-2012
2011-10-15,Liverpool,Man United,D,1,1,14,10,8,3,8,3,8,11,1,3,0,0,3,3.3,2.4,2011-2012
2011-10-15,Man City,Aston Villa,H,4,1,15,8,10,6,5,1,10,6,1,1,0,0,1.33,5,10,2011-2012
2011-10-15,Norwich,Swansea,H,3,1,15,12,8,4,4,4,6,5,0,1,0,0,2.2,3.3,3.4,2011-2012
2011-10-15,QPR,Blackburn,D,1,1,12,10,6,9,5,7,10,13,3,2,0,0,1.83,3.5,4.5,2011-2012
2011-10-15,Stoke,Fulham,H,2,0,14,4,6,1,5,2,14,15,4,4,0,0,2.2,3.2,3.5,2011-2012
2011-10-15,Wigan,Bolton,A,1,3,13,14,9,11,5,4,16,14,4,4,0,0,2.3,3.3,3.2,2011-2012
2011-10-16,Arsenal,Sunderland,H,2,1,20,8,11,4,9,2,9,19,3,3,0,0,1.44,4.33,7.5,2011-2012
2011-10-16,Newcastle,Tottenham,D,2,2,12,11,7,8,5,2,11,15,1,2,0,0,3,3.3,2.4,2011-2012
2011-10-16,West Brom,Wolves,H,2,0,17,13,11,10,2,11,14,12,0,1,0,0,2,3.3,4,2011-2012
2011-10-22,Aston Villa,West Brom,A,1,2,3,8,0,5,3,8,11,8,2,3,1,0,2,3.3,4,2011-2012
2011-10-22,Bolton,Sunderland,A,0,2,15,18,8,10,2,11,15,14,0,3,0,0,2.2,3.2,3.5,2011-2012
