Date,Home_Team,Away_Team,Full_Time_Result,Home_Full_Time_Goals,Away_Full_Time_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Home_Win_Bet365_Odds,Draw_Bet365_Odds,Away_Win_Bet365_Odds,Home_Win_Pinnacle_Odds,Draw_Pinnacle_Odds,Away_Win_Pinnacle_Odds,Season
2015-09-27,Watford,Crystal Palace,A,0,1,15,16,2,3,6,4,17,22,4,4,0,0,2.5,3.3,3.1,2.61,3.38,2.93,2015-2016
2015-09-28,West Brom,Everton,A,2,3,9,12,4,4,6,4,9,8,0,3,0,0,3.1,3.3,2.5,3.02,3.36,2.55,2015-2016
2015-10-03,Aston Villa,Stoke,A,0,1,13,12,2,5,9,5,12,12,1,0,0,0,2.5,3.3,3.1,2.71,3.25,2.91,2015-2016
2015-10-03,Bournemouth,Watford,D,1,1,12,11,6,2,5,3,8,13,1,1,0,0,2.1,3.5,3.8,2.21,3.34,3.72,2015-2016
2015-10-03,Chelsea,Southampton,A,1,3,10,13,3,5,4,6,14,14,2,5,0,0,1.83,3.7,4.8,1.79,3.9,4.89,2015-2016
2015-10-03,Crystal Palace,West Brom,H,2,0,21,7,8,2,8,3,14,13,3,3,0,0,1.83,3.6,5,1.83,3.64,5,2015-2016
2015-10-03,Man City,Newcastle,H,6,1,23,6,11,4,6,3,13,8,3,1,0,0,1.25,7,13,1.22,7.3,14.85,2015-2016
2015-10-03,Norwich,Leicester,A,1,2,17,16,2,5,16,8,4,4,0,1,0,0,2.3,3.5,3.3,2.33,3.44,3.34,2015-2016
2015-10-03,Sunderland,West Ham,D,2,2,12,20,3,6,1,8,14,11,2,4,1,0,3.2,3.4,2.4,3.03,3.55,2.45,2015-2016
2015-10-04,Arsenal,Man United,H,3,0,12,9,5,5,3,6,8,17,1,3,0,0,2,3.8,3.8,2.01,3.81,3.84,2015-2016
2015-10-04,Everton,Liverpool,D,1,1,14,13,4,4,5,11,10,19,3,3,0,0,2.7,3.4,2.8,3.16,3.44,2.42,2015-2016
2015-10-04,Swansea,Tottenham,D,2,2,11,19,2,11,5,6,8,19,1,4,0,0,2.75,3.25,2.8,2.68,3.46,2.79,2015-2016
2015-10-17,Chelsea,Aston Villa,H,2,0,9,8,3,1,4,4,22,17,1,3,0,0,1.33,5.75,10,1.33,5.83,10.2,2015-2016
2015-10-17,Crystal Palace,West Ham,A,1,3,6,24,1,4,1,9,9,11,1,3,1,0,2,3.6,4,1.96,3.77,4.08,2015-2016
2015-10-17,Everton,Man United,A,0,3,12,10,3,7,5,3,12,14,2,2,0,0,3.25,3.4,2.38,3.29,3.48,2.33,2015-2016
2015-10-17,Man City,Bournemouth,H,5,1,15,5,11,1,1,7,11,5,2,1,0,0,1.33,5.75,10,1.34,5.38,10.93,2015-2016
