Date,Home_Team,Away_Team,Full_Time_Result,Full_Time_Home_Goals,Full_Time_Away_Goals,Home_Shots,Away_Shots,Home_Shots_On_Target,Away_Shots_On_Target,Home_Corners,Away_Corners,Home_Fouls,Away_Fouls,Home_Yellow_Cards,Away_Yellow_Cards,Home_Red_Cards,Away_Red_Cards,Bet365_Home_Odds,Bet365_Draw_Odds,Bet365_Away_Odds,Season
2007-12-01,Aston Villa,Arsenal,A,1,2,11,14,5,9,4,7,16,10,3,2,0,0,4,3.3,2,2007-2008
2007-12-01,Blackburn,Newcastle,H,3,1,13,20,6,8,1,1,21,17,2,3,0,0,1.9,3.4,4.2,2007-2008
2007-12-01,Chelsea,West Ham,H,1,0,14,4,5,1,7,0,15,26,5,3,0,0,1.25,5.5,13,2007-2008
2007-12-01,Portsmouth,Everton,D,0,0,20,4,6,2,9,0,14,13,1,2,0,0,2.2,3.25,3.4,2007-2008
2007-12-01,Reading,Middlesbrough,D,1,1,12,16,7,11,5,4,11,16,2,1,0,0,2,3.3,4,2007-2008
2007-12-01,Sunderland,Derby,H,1,0,20,12,9,9,5,3,12,15,1,1,0,0,1.66,3.6,5.5,2007-2008
2007-12-01,Wigan,Man City,D,1,1,5,4,4,1,2,4,13,10,2,2,1,0,3,3.25,2.4,2007-2008
2007-12-02,Liverpool,Bolton,H,4,0,23,6,14,3,5,5,11,14,0,3,0,0,1.28,5,13,2007-2008
2007-12-02,Tottenham,Birmingham,A,2,3,17,7,9,3,12,3,10,13,0,1,1,0,1.44,4.2,8,2007-2008
2007-12-03,Man United,Fulham,H,2,0,15,12,11,3,7,3,3,13,2,1,0,0,1.2,6,17,2007-2008
2007-12-05,Newcastle,Arsenal,D,1,1,12,6,8,2,6,6,9,10,3,2,0,0,6,3.75,1.61,2007-2008
2007-12-08,Aston Villa,Portsmouth,A,1,3,14,12,6,8,7,5,18,23,2,5,0,0,2.1,3.3,3.6,2007-2008
2007-12-08,Chelsea,Sunderland,H,2,0,11,9,4,2,10,2,6,12,0,1,0,1,1.16,6.5,21,2007-2008
2007-12-08,Everton,Fulham,H,3,0,15,6,11,4,12,7,9,9,0,2,0,0,1.57,3.75,6.5,2007-2008
2007-12-08,Man United,Derby,H,4,1,23,10,12,6,9,3,12,12,0,2,0,0,1.11,8.5,26,2007-2008
2007-12-08,Newcastle,Birmingham,H,2,1,17,7,9,4,6,5,10,8,1,2,0,0,1.8,3.5,4.75,2007-2008
2007-12-08,Reading,Liverpool,H,3,1,7,15,4,5,7,7,10,10,0,1,0,0,5.5,3.6,1.66,2007-2008
2007-12-09,Blackburn,West Ham,A,0,1,15,11,7,5,9,5,15,17,1,1,0,0,1.83,3.5,4.5,2007-2008
2007-12-09,Bolton,Wigan,H,4,1,8,11,6,7,5,11,13,11,2,1,0,0,2,3.4,3.8,2007-2008
